runtime model round thread
2.512503106 python 1000 1
2.503092275 python 10000 1
2.912864780 python 100000 1
7.943974603 python 1000000 1
2.368680991 python 1000 2
2.424571244 python 10000 2
3.048480189 python 100000 2
7.979666439 python 1000000 2
2.386381692 python 1000 4
2.493876462 python 10000 4
3.119579167 python 100000 4
9.281353127 python 1000000 4
2.454024554 python 1000 8
2.475180861 python 10000 8
4.336557674 python 100000 8
15.694250476 python 1000000 8
.126573517 go 1000 1
.226428075 go 10000 1
.991154747 go 100000 1
8.280852283 go 1000000 1
.151566885 go 1000 2
.319284546 go 10000 2
2.044124403 go 100000 2
19.123714140 go 1000000 2
.182940443 go 1000 4
.642959000 go 10000 4
5.341558020 go 100000 4
53.887433476 go 1000000 4
.245688182 go 1000 8
1.436334538 go 10000 8
13.258407050 go 100000 8
136.082972807 go 1000000 8
